2025.01.06,Beans Brown (Oloyin),Grains,Lagos (Lekki),4500,-2,0,3200,80,Yes,5000
07-01-2025,Power Oil (Sachet),Oils,Abuja,500,26,13000,400,101,No,50000
2025.01.07,Peak Milk 400g,Dairy,Enugu,5800,21,121800,4900,28,Yes,0
07/01/2025,Yam Tuber (Large),Produce,Lagos (Lekki),12000,10,120000,8000,86,Yes,5000
07-01-2025,Yam Tuber (Large),Produce,Enugu,12000,26,312000,8000,26,No,5000
"Jan 08, 25",Yellow Garri (Paint),Tubers,Abuja,5500,28,154000,4200,44,No,0
08/01/2025,Beans Brown (Oloyin),Grains,Enugu,4500,6,27000,3200,36,No,50000
2025.01.08,Kings Oil 5L,Oils,Kano,NGN 27000,-1,0,21500,35,No,10000
2025.01.08,Local Rice (50kg),Grains,Kano,120000,16,1920000,105000,109,No,50000
09/01/2025,Indomie Super Pack,Noodles,Enugu,20000,30,600000,16800,182,Yes,0
09-01-2025,Dangote Sugar 1kg,Sweeteners,Enugu,4000,25,100000,3200,195,Yes,5000
2025-01-09,Peak Milk 400g,Dairy,Port Harcourt,5800,26,150800,4900,80,Yes,0
09/01/2025,Beans Brown (Oloyin),Grains,Abuja,Promo Price: 4000,9,40500,3200,93,Yes,0
2025-01-10,Semovita 10kg,Swallow,Lagos (Ikeja),Promo Price: 10000,10,105000,9200,177,No,50000
"Jan 10, 25",Semovita 10kg,Swallow,Lagos (Ikeja),10500,0,0,9200,137,No,50000
2025.01.10,Frozen Turkey (kg),Meat,Enugu,11000,11,121000,8800,94,No,0
10/01/2025,Milo Refill 500g,Beverages,Ibadan,7200,13,93600,6000,32,Yes,0
"Jan 11, 25",Yellow Garri (Paint),Tubers,Lagos (Lekki),5500,0,0,4200,135,No,0
2025-01-11,Frozen Turkey (kg),Meat,Abuja,Promo Price: 10500,16,176000,8800,34,No,0
11-01-2025,Yam Tuber (Large),Produce,Lagos (Ikeja),NGN 12000,19,228000,8000,188,No,50000
11/01/2025,Yellow Garri (Paint),Tubers,Lagos (Ikeja),5500,-1,0,4200,103,No,10000
2025-01-12,Indomie Super Pack,Noodles,Lagos (Ikeja),20000,8,160000,16800,49,No,0
"Jan 12, 25",Yam Tuber (Large),Produce,Enugu,12000,21,252000,8000,182,Yes,0
12/01/2025,Semovita 10kg,Swallow,Port Harcourt,10500,1,10500,9200,184,Yes,50000
"Jan 12, 25",Semovita 10kg,Swallow,Port Harcourt,10500,21,220500,9200,73,Yes,10000
"Jan 13, 25",Frozen Turkey (kg),Meat,Abuja,11000,9,99000,8800,184,No,50000
13/01/2025,Yam Tuber (Large),Produce,Enugu,12000,28,336000,8000,189,No,0
13-01-2025,Milo Refill 500g,Beverages,Port Harcourt,7200,8,57600,6000,65,Yes,5000
"Jan 13, 25",Kings Oil 5L,Oils,Kano,27000,18,486000,21500,54,Yes,0
2025.01.14,Kings Oil 5L,Oils,Abuja,27000,6,162000,21500,43,Yes,50000
2025-01-14,Yellow Garri (Paint),Tubers,Ibadan,5500,23,126500,4200,44,No,5000
2025.01.14,Semovita 10kg,Swallow,Lagos (Lekki),NGN 10500,29,304500,9200,59,No,0
14-01-2025,Dangote Sugar 1kg,Sweeteners,Lagos (Lekki),4000,7,28000,3200,60,No,0
"Jan 15, 25",Peak Milk 400g,Dairy,Kano,5800,7,40600,4900,99,Yes,0
15-01-2025,Yam Tuber (Large),Produce,Lagos (Ikeja),12000,20,240000,8000,86,No,0
2025-01-15,Milo Refill 500g,Beverages,Enugu,7200,16,115200,6000,25,No,10000
2025-01-15,Local Rice (50kg),Grains,Ibadan,120000,19,2280000,105000,102,Yes,0
16/01/2025,Yam Tuber (Large),Produce,Port Harcourt,12000,26,312000,8000,127,No,10000
16-01-2025,Local Rice (50kg),Grains,Ibadan,120000,6,720000,105000,42,Yes,0
16-01-2025,Power Oil (Sachet),Oils,Port Harcourt,500,28,14000,400,193,Yes,0
16-01-2025,Frozen Turkey (kg),Meat,Kano,11000,7,77000,8800,124,No,10000
2025-01-17,Kings Oil 5L,Oils,Kano,27000,25,675000,21500,146,Yes,0
17/01/2025,Dangote Sugar 1kg,Sweeteners,Enugu,4000,19,76000,3200,173,No,50000
"Jan 17, 25",Power Oil (Sachet),Oils,Port Harcourt,500,28,14000,400,70,No,10000
17-01-2025,Local Rice (50kg),Grains,Enugu,120000,18,2160000,105000,136,Yes,5000
"Jan 18, 25",Kings Oil 5L,Oils,Ibadan,27000,30,810000,21500,124,Yes,5000
18-01-2025,Milo Refill 500g,Beverages,Lagos (Lekki),7200,4,28800,6000,110,No,50000
2025-01-18,Power Oil (Sachet),Oils,Port Harcourt,500,6,3000,400,148,Yes,50000
18-01-2025,Power Oil (Sachet),Oils,Enugu,500,6,3000,400,25,No,10000
19/01/2025,Kings Oil 5L,Oils,Lagos (Lekki),27000,8,216000,21500,60,No,5000
2025-01-19,Yam Tuber (Large),Produce,Lagos (Ikeja),12000,23,276000,8000,29,No,10000
19/01/2025,Semovita 10kg,Swallow,Enugu,10500,24,252000,9200,123,No,50000
2025-01-19,Indomie Super Pack,Noodles,Ibadan,20000,3,60000,16800,170,Yes,5000
"Jan 20, 25",Yellow Garri (Paint),Tubers,Enugu,5500,24,132000,4200,10,No,5000
20/01/2025,Yellow Garri (Paint),Tubers,Enugu,Promo Price: 5000,8,44000,4200,104,No,5000
2025-01-20,Frozen Turkey (kg),Meat,Ibadan,11000,7,77000,8800,192,No,0
"Jan 20, 25",Beans Brown (Oloyin),Grains,Ibadan,4500,15,67500,3200,197,No,0
"Jan 21, 25",Yellow Garri (Paint),Tubers,Enugu,5500,19,104500,4200,20,No,5000
21/01/2025,Power Oil (Sachet),Oils,Port Harcourt,500,1,500,400,10,No,0
